type,section,item,value,status,note_or_evidence
metric,advanced_holdout_provenance,external_benchmark_execution_status_mode,execution_complete_no_fail,PASS,planned=0 | in_progress=0 | completed=10 | failed=0 | finished=10 | completion_ratio=1.000
metric,advanced_holdout_provenance,audit_review_decision_batch_template,0,INFO,"status=none | owner=none | priority=none | attested_examples=0 | example_preview=approve_all=PASS_START_NOW_FULL, mixed=PASS_START_NOW_FULL"
metric,advanced_holdout_provenance,external_benchmark_submission_preview_approve_all,PASS_NO_OPEN_DECISION_ITEMS,FAIL,ready_full=False | pending=0 | open_revision=0
metric,advanced_holdout_provenance,external_benchmark_submission_preview_reject_one,PASS_NO_OPEN_DECISION_ITEMS,FAIL,ready_full=False | pending=0 | open_revision=0 | blocker=none
metric,advanced_holdout_provenance,audit_review_decision_batch_runner,PASS_ZERO_TOUCH_NO_OPEN_DECISION_ITEMS,FAIL,apply_live=False | live_applied=False | preview_reason=PASS_NO_OPEN_DECISION_ITEMS | preview_ready_full=False | preview_pending=0 | preview_open_revision=0
metric,advanced_holdout_closure,pbd_dynamic_hinge_refresh,closed,PASS,"Dynamic plastic-hinge refresh | severity=P0 | mode=computed_member_local_hinge_refresh | reason=Dynamic hinge-refresh artifact is attached. | evidence=hinge_proxy_artifacts=2, artifact_present=True, artifact_kind=hinge_refresh_projected_from_optimization_changes, source_mode=rebar_sensitive_member_local_refresh, overlap_members=88, rebar_sensitive_members=70, benchmark_assets=5, benchmark_split=train:2/va..."
metric,advanced_holdout_closure,panel_zone_3d_clash_and_anchorage,closed,PASS,"Panel-zone 3D clash and anchorage coverage | severity=P0 | mode=panel_zone_3d_clash_and_anchorage_verified | reason=3D panel-zone clash and anchorage recomputation artifacts are attached | evidence=proxy_candidates=45, source=design_optimization_dataset_npz:true_3d_clash_and_anchorage_verified, status_label=release_ready, advisory_only=False, release_blocking=False, artifact_closed=True, closure_mode=closed_exact_validated, coverage=validated_sources=..."
metric,advanced_holdout_closure,foundation_mat_pile_optimization,closed,PASS,"Foundation / mat / pile optimization | severity=P1 | mode=active_foundation_member_optimization | reason=foundation optimization artifact is attached and dataset contains foundation members | evidence=foundation_member_type_count=76, scope_source=dataset_summary, raw_source_labels=0, upstream_labels=0, upstream_mode=dataset_scope_only"
metric,advanced_holdout_closure,wind_tunnel_raw_mapping,closed,PASS,"Raw wind-tunnel data mapping | severity=P1 | mode=raw_hffb_node_pressure_mapping | reason=Raw wind-tunnel HFFB mapping is ready for traceable MIDAS binding. | evidence=semantic_pressure_binding=True, bound_pressure_rows=7278, unbound_pressure_rows=0"
authority,OpenSees,SCBF16B,nodes=420 | shell_beam_mix=False,PASS,implementation/phase1/open_data/megastructure/opensees/SCBF16B.tcl
authority,OpenSees,SCBF16B_shell_beam_mix,nodes=426 | shell_beam_mix=True,PASS,implementation/phase1/open_data/megastructure/opensees/SCBF16B_shell_beam_mix.tcl
authority,OpenSees,Luxinzheng_Megatall_Model1,nodes=1252 | shell_beam_mix=False,PASS,implementation/phase1/open_data/irregular/collected/artifacts/luxinzheng_megatall_tcl_model1_local/opensees.tcl
authority,SAC,SAC20_LA_holdout_01,drift=3.200% | MAC=0.9710,PASS,https://femap58.atcouncil.org/index.php?option=com_content&view=article&id=5:sac-steel-project&catid=2:uncategorised
authority,SAC,SAC20_SEA_holdout_02,drift=3.600% | MAC=0.9680,PASS,https://femap58.atcouncil.org/index.php?option=com_content&view=article&id=5:sac-steel-project&catid=2:uncategorised
authority,SAC,SAC20_BOS_holdout_03,drift=2.900% | MAC=0.9740,PASS,https://femap58.atcouncil.org/index.php?option=com_content&view=article&id=5:sac-steel-project&catid=2:uncategorised
authority,NHERI,NHERI_UCSD_like_holdout_01,corr=1.0000 | phase=0.000 ms,PASS,https://www.designsafe-ci.org/data/browser/public/designsafe.storage.published/
authority,NHERI,NHERI_UCSD_like_holdout_02,corr=1.0000 | phase=0.000 ms,PASS,https://www.designsafe-ci.org/data/browser/public/designsafe.storage.published/
authority,NHERI,NHERI_UCSD_like_holdout_03,corr=1.0000 | phase=0.000 ms,PASS,https://www.designsafe-ci.org/data/browser/public/designsafe.storage.published/
ndtha_residual_case,C-TST-001,test,pre_top=3.307971 m -> post_top=0.688058 m | pre_drift=9.200000% -> post_drift=1.913600%,PASS,source=solver_raw | settle_steps=48
ndtha_residual_case,C-TST-002,test,pre_top=2.767687 m -> post_top=0.575679 m | pre_drift=9.200000% -> post_drift=1.913600%,PASS,source=solver_raw | settle_steps=48
ndtha_residual_case,C-TST-003,test,pre_top=3.291808 m -> post_top=0.684696 m | pre_drift=9.200000% -> post_drift=1.913600%,PASS,source=solver_raw | settle_steps=48
design_change,S02/perimeter,wall,changed=1 | cost_delta=-13.203 | dcr=0.000->0.976,PASS,semantic_groups=0
design_change,S03/intermediate,wall,changed=1 | cost_delta=-4.339 | dcr=0.000->0.487,PASS,semantic_groups=0
design_change,S03/perimeter,wall,changed=2 | cost_delta=-157.316 | dcr=0.000->0.550,PASS,semantic_groups=0
design_change,S04/intermediate,wall,changed=2 | cost_delta=-158.714 | dcr=0.000->0.412,PASS,semantic_groups=0
design_change,S04/perimeter,slab,changed=1 | cost_delta=-14.871 | dcr=0.000->0.419,PASS,semantic_groups=1
design_change,S04/perimeter,wall,changed=2 | cost_delta=-5.881 | dcr=0.000->0.507,PASS,semantic_groups=0
design_change,S04/transfer,beam,changed=5 | cost_delta=8.658 | dcr=0.498->0.352,PASS,semantic_groups=0
design_change,S05/perimeter,column,changed=1 | cost_delta=-47.994 | dcr=0.000->0.239,PASS,semantic_groups=1
design_change,S06/intermediate,wall,changed=1 | cost_delta=-4.339 | dcr=0.000->0.455,PASS,semantic_groups=0
design_change,S06/perimeter,wall,changed=1 | cost_delta=-2.940 | dcr=0.000->0.550,PASS,semantic_groups=0
design_change,S07/intermediate,wall,changed=1 | cost_delta=-4.339 | dcr=0.000->0.455,PASS,semantic_groups=0
design_change,S07/perimeter,wall,changed=1 | cost_delta=-2.940 | dcr=0.000->0.550,PASS,semantic_groups=0
design_change,S08/perimeter,wall,changed=1 | cost_delta=-2.940 | dcr=0.000->0.504,PASS,semantic_groups=0
design_change_story,S02,all,changed=1 | cost_delta=-13.203 | dcr=0.000->0.976,PASS,semantic_groups=0
design_change_story,S03,all,changed=3 | cost_delta=-161.655 | dcr=0.000->0.550,PASS,semantic_groups=0
design_change_story,S04,all,changed=10 | cost_delta=-170.808 | dcr=0.498->0.507,PASS,semantic_groups=1
design_change_story,S05,all,changed=1 | cost_delta=-47.994 | dcr=0.000->0.239,PASS,semantic_groups=1
design_change_story,S06,all,changed=2 | cost_delta=-7.280 | dcr=0.000->0.550,PASS,semantic_groups=0
design_change_story,S07,all,changed=2 | cost_delta=-7.280 | dcr=0.000->0.550,PASS,semantic_groups=0
design_change_story,S08,all,changed=1 | cost_delta=-2.940 | dcr=0.000->0.504,PASS,semantic_groups=0
design_change_zone,intermediate,all,changed=5 | cost_delta=-171.732 | dcr=0.000->0.487,PASS,semantic_groups=0
design_change_zone,perimeter,all,changed=10 | cost_delta=-248.085 | dcr=0.000->0.976,PASS,semantic_groups=2
design_change_zone,transfer,all,changed=5 | cost_delta=8.658 | dcr=0.498->0.352,PASS,semantic_groups=0
design_opt_entrypoint,dataset,implementation/phase1/generate_design_optimization_dataset.py,/home/betelgeuze/건축구조분석/implementation/phase1/release/design_optimization/design_optimization_dataset_report.json,PASS,exists=True reason=PASS
design_opt_entrypoint,solver_loop,implementation/phase1/run_design_optimization_solver_loop.py,/home/betelgeuze/건축구조분석/implementation/phase1/release/design_optimization/design_optimization_solver_loop_report.json,PASS,exists=True reason=PASS
design_opt_entrypoint,solver_loop_long,implementation/phase1/run_design_optimization_solver_loop_long.py,/home/betelgeuze/건축구조분석/implementation/phase1/release/design_optimization/design_optimization_solver_loop_long_report.json,PASS,exists=True reason=PASS
design_opt_entrypoint,budgeted,implementation/phase1/run_design_optimization_budgeted.py,/home/betelgeuze/건축구조분석/implementation/phase1/release/design_optimization/design_optimization_budgeted_report.json,PASS,exists=True reason=PASS
design_opt_entrypoint,cost_reduction,implementation/phase1/run_design_optimization_cost_reduction.py,/home/betelgeuze/건축구조분석/implementation/phase1/release/design_optimization/design_optimization_cost_reduction_report.json,PASS,exists=True reason=PASS
design_opt_entrypoint,ablation,implementation/phase1/run_design_optimization_ablation.py,/home/betelgeuze/건축구조분석/implementation/phase1/release/design_optimization/design_optimization_ablation_report.json,PASS,exists=True reason=PASS
design_opt_entrypoint,objective_profile,implementation/phase1/generate_design_objective_calibration.py,/home/betelgeuze/건축구조분석/implementation/phase1/release/design_optimization/design_objective_profile_report.json,PASS,exists=True reason=PASS
design_opt_entrypoint_group,Ablation,ablation,1/1,PASS,pass_count=1
design_opt_entrypoint_group,Dataset,dataset,1/1,PASS,pass_count=1
design_opt_entrypoint_group,Profile,objective_profile,1/1,PASS,pass_count=1
design_opt_entrypoint_group,Stage A,"solver_loop,solver_loop_long",2/2,PASS,pass_count=2
design_opt_entrypoint_group,Stage A/B/C,budgeted,1/1,PASS,pass_count=1
design_opt_entrypoint_group,Stage B,cost_reduction,1/1,PASS,pass_count=1
metric,advanced_holdout_provenance,irregular_structure_track,Irregular structure collection gate: PASS | families=20 | sources=32 | local_ready=15 | remote_candidates=17 | collected=21 | top5=5,PASS,"families=20 | sources=32 | local_ready=15 | remote_candidates=17 | top5=5 | top5_family_ids=transfer_podium_tower,soft_story_podium_tower,torsionally_eccentric_core_tower,setback_tower,reentrant_corner_tower | gate=implementation/phase1/irregular_structure_collection_gate_report.json | manifest=implementation/phase1/open_data/irregular/irregular_top5_execution_manifest.json"
